13.43	0.04;0.18;0.20;0.18;20.0;0.23;0.12	0.04;0.18;0.20;0.18;18.0;0.23;0.12	0.04;0.18;0.20;0.18;21.5;0.23;0.12	0.04;0.18;0.20;0.18;19.5;0.23;0.12	0.17;0.22;0.07;0.22;34.5;0.03;0.12	0.20;0.18;0.04;0.18;23.0;0.07;0.12	0.20;0.18;0.04;0.18;20.5;0.07;0.12	0.20;0.18;0.04;0.18;22.0;0.07;0.12
14.07	0.04;0.18;0.20;0.18;18.0;0.21;0.12	0.04;0.18;0.20;0.18;21.5;0.21;0.12	0.04;0.18;0.20;0.18;20.5;0.21;0.12	0.04;0.18;0.20;0.18;19.5;0.21;0.12	0.17;0.22;0.07;0.22;27.0;0.05;0.12	0.20;0.18;0.04;0.18;29.0;0.09;0.12	0.20;0.18;0.04;0.18;28.0;0.09;0.12	0.20;0.18;0.04;0.18;28.0;0.09;0.12
15.46	0.04;0.18;0.20;0.18;20.0;0.17;0.12	0.04;0.18;0.20;0.18;20.0;0.17;0.12	0.04;0.18;0.20;0.18;22.0;0.17;0.12	0.04;0.18;0.20;0.18;18.5;0.17;0.12	0.17;0.22;0.07;0.22;29.0;0.09;0.12	0.20;0.18;0.04;0.18;27.5;0.13;0.12	0.20;0.18;0.04;0.18;26.5;0.14;0.12	0.20;0.18;0.04;0.18;31.5;0.14;0.12
16.10	0.04;0.18;0.20;0.18;27.0;0.15;0.12	0.04;0.18;0.20;0.18;26.5;0.15;0.12	0.04;0.18;0.20;0.18;27.5;0.15;0.12	0.04;0.18;0.20;0.18;25.5;0.15;0.12	0.17;0.22;0.07;0.22;31.0;0.11;0.12	0.20;0.18;0.04;0.18;27.0;0.15;0.12	0.20;0.18;0.04;0.18;27.0;0.15;0.12	0.20;0.18;0.04;0.18;28.0;0.15;0.12
17.46	0.04;0.18;0.20;0.18;28.0;0.11;0.12	0.04;0.18;0.20;0.18;29.0;0.11;0.12	0.04;0.18;0.20;0.18;30.5;0.11;0.12	0.04;0.18;0.20;0.18;25.5;0.11;0.12	0.17;0.22;0.07;0.22;30.5;0.15;0.12	0.20;0.18;0.04;0.18;24.5;0.19;0.12	0.20;0.18;0.04;0.18;23.5;0.20;0.12	0.20;0.18;0.04;0.18;23.5;0.20;0.12
18.10	0.04;0.18;0.20;0.18;26.0;0.09;0.12	0.04;0.18;0.20;0.18;28.5;0.09;0.12	0.04;0.18;0.20;0.18;26.5;0.09;0.12	0.04;0.18;0.20;0.18;27.0;0.09;0.12	0.17;0.22;0.07;0.22;33.0;0.17;0.12	0.20;0.18;0.04;0.18;24.0;0.21;0.12	0.20;0.18;0.04;0.18;21.5;0.21;0.12	0.20;0.18;0.04;0.18;22.0;0.21;0.12
19.44	0.04;0.18;0.20;0.18;23.0;0.05;0.12	0.04;0.18;0.20;0.18;24.0;0.05;0.12	0.04;0.18;0.20;0.18;28.5;0.05;0.12	0.04;0.18;0.20;0.18;26.5;0.05;0.12	0.17;0.22;0.07;0.22;29.0;0.21;0.12	0.20;0.18;0.04;0.18;19.5;0.23;0.13	0.20;0.18;0.04;0.18;18.5;0.23;0.14	0.20;0.18;0.04;0.18;19.5;0.23;0.14
20.10	0.04;0.18;0.20;0.18;21.5;0.03;0.12	0.04;0.18;0.20;0.18;23.0;0.03;0.12	0.04;0.18;0.20;0.18;24.0;0.03;0.12	0.04;0.18;0.20;0.18;23.0;0.03;0.12	0.17;0.22;0.07;0.22;28.5;0.23;0.12	0.21;0.16;0.03;0.16;12.0;0.21;0.16	0.21;0.17;0.03;0.17;13.0;0.21;0.17	0.21;0.17;0.03;0.17;13.0;0.21;0.17
21.41	0.04;0.18;0.20;0.18;18.5;0.01;0.13	0.04;0.18;0.20;0.18;22.0;0.01;0.13	0.04;0.18;0.20;0.18;22.5;0.01;0.13	0.04;0.18;0.20;0.18;18.5;0.01;0.13	0.21;0.16;0.03;0.16;7.0;0.21;0.16	0.17;0.22;0.07;0.22;18.0;0.17;0.22	0.17;0.23;0.07;0.23;17.5;0.17;0.23	0.17;0.23;0.07;0.23;15.0;0.17;0.23
22.11	0.03;0.16;0.21;0.16;11.5;0.03;0.16	0.03;0.16;0.21;0.16;12.0;0.03;0.16	0.03;0.16;0.21;0.16;12.5;0.03;0.16	0.03;0.16;0.21;0.16;11.5;0.03;0.16	0.19;0.19;0.05;0.19;11.5;0.19;0.19	0.15;0.25;0.09;0.25;18.0;0.15;0.25	0.14;0.26;0.10;0.26;20.0;0.14;0.26	0.14;0.26;0.10;0.26;19.0;0.14;0.26
